date,VSP
2012-11-01,20.606464385986328
2012-12-01,20.716569900512695
2013-01-01,21.91669464111328
2013-02-01,22.19809913635254
2013-03-01,23.03581428527832
2013-04-01,23.451326370239258
2013-05-01,24.099515914916992
2013-06-01,23.831315994262695
2013-07-01,24.990774154663086
2013-08-01,24.198341369628906
2013-09-01,24.912776947021484
2013-10-01,26.236310958862305
2013-11-01,26.923208236694336
2013-12-01,27.58836555480957
2014-01-01,26.621379852294922
2014-02-01,27.748126983642578
2014-03-01,28.08707046508789
2014-04-01,28.23057746887207
2014-05-01,28.9312744140625
2014-06-01,29.53807830810547
2014-07-01,29.199134826660156
2014-08-01,30.275272369384766
2014-09-01,29.915367126464844
2014-10-01,30.56181526184082
2014-11-01,31.505971908569336
2014-12-01,31.612525939941406
2015-01-01,30.39075469970703
2015-02-01,32.13370895385742
2015-03-01,31.62532615661621
2015-04-01,31.865631103515625
2015-05-01,32.37199020385742
2015-06-01,31.72739601135254
2015-07-01,32.39070510864258
2015-08-01,30.435218811035156
2015-09-01,29.54090118408203
2015-10-01,32.119449615478516
2015-11-01,32.17137908935547
2015-12-01,31.59034538269043
2016-01-01,29.90390396118164
2016-02-01,29.921297073364258
2016-03-01,31.685964584350586
2016-04-01,31.816368103027344
2016-05-01,32.35533142089844
2016-06-01,32.34547424316406
2016-07-01,33.65431213378906
2016-08-01,33.54087829589844
2016-09-01,33.712677001953125
2016-10-01,33.00321578979492
2016-11-01,34.29951477050781
2016-12-01,34.872314453125
2017-01-01,35.43577194213867
2017-02-01,36.89722442626953
2017-03-01,37.01243209838867
2017-04-01,37.251155853271484
2017-05-01,37.737457275390625
2017-06-01,37.98442077636719
2017-07-01,38.70328140258789
2017-08-01,38.809776306152344
2017-09-01,39.49203872680664
2017-10-01,40.481109619140625
2017-11-01,41.746437072753906
2017-12-01,42.21148681640625
2018-01-01,44.491973876953125
2018-02-01,42.7480583190918
2018-03-01,41.627017974853516
2018-04-01,41.74372100830078
2018-05-01,42.704280853271484
2018-06-01,43.027130126953125
2018-07-01,44.42439651489258
2018-08-01,45.87576675415039
2018-09-01,46.073116302490234
2018-10-01,42.79768753051758
2018-11-01,43.69346237182617
2018-12-01,39.36272048950195
2019-01-01,42.526275634765625
2019-02-01,43.91716003417969
2019-03-01,44.70396423339844
2019-04-01,46.50345230102539
2019-05-01,43.53475570678711
2019-06-01,46.376129150390625
2019-07-01,47.10994338989258
2019-08-01,46.25688552856445
2019-09-01,47.080257415771484
2019-10-01,48.06550216674805
2019-11-01,50.0359992980957
2019-12-01,51.242584228515625
2020-01-01,51.224090576171875
2020-02-01,46.982383728027344
2020-03-01,40.87297439575195
2020-04-01,45.74433135986328
2020-05-01,47.94340133666992
2020-06-01,48.90770721435547
2020-07-01,51.489646911621094
2020-08-01,55.11554718017578
2020-09-01,52.9952392578125
2020-10-01,51.526790618896484
2020-11-01,56.97035217285156
2020-12-01,59.0892219543457
2021-01-01,58.39504623413086
2021-02-01,60.139862060546875
2021-03-01,62.65047836303711
2021-04-01,65.84983825683594
2021-05-01,66.25442504882812
2021-06-01,67.9429931640625
2021-07-01,69.50001525878906
2021-08-01,71.67041015625
2021-09-01,68.27216339111328
2021-10-01,72.92771911621094
2021-11-01,72.49243927001953
2021-12-01,75.5737533569336
2022-01-01,71.58719635009766
2022-02-01,69.41357421875
2022-03-01,72.14747619628906
2022-04-01,65.46841430664062
2022-05-01,65.69673156738281
2022-06-01,60.012699127197266
2022-07-01,65.62547302246094
2022-08-01,62.88589859008789
2022-09-01,56.764137268066406
2022-10-01,61.43059539794922
2022-11-01,64.67890930175781
2022-12-01,61.03718185424805
2023-01-01,64.65478515625
2023-02-01,63.096134185791016
2023-03-01,65.25625610351562
2023-04-01,66.26985168457031
2023-05-01,66.61737060546875
2023-06-01,70.75849914550781
2023-07-01,72.97604370117188
2023-08-01,71.78495788574219
2023-09-01,68.26260375976562
2023-10-01,66.73768615722656
2023-11-01,72.67227172851562
2023-12-01,75.78597259521484
2024-01-01,77.05281829833984
2024-02-01,81.08720397949219
2024-03-01,83.59104919433594
2024-04-01,80.18018341064453
2024-05-01,84.12859344482422
2024-06-01,86.98219299316406
2024-07-01,88.01140594482422
2024-08-01,89.88356018066406
2024-09-01,91.66903686523438
2024-10-01,90.94181060791016
2024-11-01,96.44510650634766
2024-12-01,93.73068237304688
2025-01-01,96.10549926757812
2025-02-01,94.63725280761719
2025-03-01,89.16743469238281
2025-04-01,88.42626953125
2025-05-01,93.75279235839844
2025-06-01,98.4807357788086
2025-07-01,100.48184967041016
2025-08-01,102.3145523071289
2025-09-01,105.91319274902344
2025-10-01,108.39545440673828
2025-11-01,108.2266616821289
2025-12-01,108.24840545654297
2026-01-01,109.6118392944336
2026-02-01,108.52706909179688
2026-03-01,103.03303527832031
2026-04-01,113.22059631347656
2026-05-01,119.11759948730469
2026-06-01,117.5999984741211
