date,XIC,XLB,XRB,VFV,CGL
2012-11-01,13.241264343261719,14.433886528015137,22.249391555786133,20.62328338623047,15.34000015258789
2012-12-01,13.543525695800781,14.37458324432373,22.08859634399414,20.771528244018555,14.979999542236328
2013-01-01,13.846942901611328,14.069892883300781,21.37744140625,21.9890079498291,14.899999618530273
2013-02-01,13.984862327575684,14.213920593261719,21.36030387878418,23.073955535888672,14.09000015258789
2013-03-01,13.961687088012695,14.335826873779297,21.600210189819336,23.47946548461914,14.229999542236328
2013-04-01,13.676897048950195,14.635411262512207,22.08002281188965,23.720582962036133,13.140000343322754
2013-05-01,13.892223358154297,14.231619834899902,21.000442504882812,25.067493438720703,12.329999923706055
2013-06-01,13.378792762756348,13.570110321044922,19.341808319091797,25.012184143066406,10.9399995803833
2013-07-01,13.834090232849121,13.577279090881348,19.71360206604004,25.67150115966797,11.779999732971191
2013-08-01,14.058239936828613,13.36701774597168,19.55797004699707,25.51292610168457,12.369999885559082
2013-09-01,14.239598274230957,13.408045768737793,19.333158493041992,25.7279052734375,11.819999694824219
2013-10-01,14.910282135009766,13.663893699645996,19.851943969726562,27.303930282592773,11.770000457763672
2013-11-01,14.980876922607422,13.526923179626465,19.35045623779297,28.586549758911133,11.119999885559082
2013-12-01,15.23136043548584,13.468916893005371,19.178913116455078,29.26902198791504,10.680000305175781
2014-01-01,15.37324333190918,14.107085227966309,19.984970092773438,29.630889892578125,11.0600004196167
2014-02-01,15.983346939086914,14.160324096679688,20.072586059570312,30.817472457885742,11.770000457763672
2014-03-01,16.177080154418945,14.071523666381836,20.14267349243164,30.997005462646484,11.399999618530273
2014-04-01,16.562763214111328,14.21850299835205,20.414283752441406,30.95477867126465,11.460000038146973
2014-05-01,16.548477172851562,14.590721130371094,20.939973831176758,31.32649803161621,11.119999885559082
2014-06-01,17.20058250427246,14.685384750366211,21.0551700592041,31.463109970092773,11.819999694824219
2014-07-01,17.43767547607422,14.84853744506836,21.61251449584961,31.709056854248047,11.420000076293945
2014-08-01,17.811294555664062,15.185359954833984,21.762903213500977,32.845462799072266,11.4399995803833
2014-09-01,17.072952270507812,14.928560256958008,21.267492294311523,33.44060134887695,10.770000457763672
2014-10-01,16.740314483642578,15.107186317443848,21.320575714111328,34.37708282470703,10.390000343322754
2014-11-01,16.935558319091797,15.536691665649414,21.62135887145996,35.815834045410156,10.329999923706055
2014-12-01,16.89928436279297,15.693196296691895,21.597291946411133,36.306922912597656,10.520000457763672
2015-01-01,16.921119689941406,17.02000617980957,23.28541374206543,38.470298767089844,11.4399995803833
2015-02-01,17.619802474975586,16.96916961669922,23.615896224975586,40.05220413208008,10.779999732971191
2015-03-01,17.317081451416016,16.817119598388672,23.02639389038086,39.89938735961914,10.569999694824219
2015-04-01,17.698158264160156,16.424530029296875,22.713775634765625,38.34465026855469,10.489999771118164
2015-05-01,17.478307723999023,16.39391326904297,22.374366760253906,40.07118225097656,10.539999961853027
2015-06-01,16.975502014160156,16.085092544555664,22.1241455078125,39.43827438354492,10.430000305175781
2015-07-01,16.9386043548584,16.518993377685547,22.502790451049805,42.093929290771484,9.65999984741211
2015-08-01,16.207918167114258,16.125478744506836,21.781553268432617,39.82628631591797,10.010000228881836
2015-09-01,15.663533210754395,16.037479400634766,21.79958152770996,39.34598922729492,9.819999694824219
2015-10-01,15.961030006408691,15.87258529663086,21.384864807128906,41.831626892089844,10.050000190734863
2015-11-01,15.923842430114746,15.99549388885498,21.574193954467773,42.85361099243164,9.359999656677246
2015-12-01,15.444465637207031,16.28307342529297,22.049814224243164,43.67188262939453,9.329999923706055
2016-01-01,15.189557075500488,16.346097946166992,21.91342544555664,41.94065475463867,9.850000381469727
2016-02-01,15.294512748718262,16.512195587158203,21.94979476928711,40.479122161865234,11.0
2016-03-01,16.129968643188477,16.742496490478516,22.404430389404297,41.27077865600586,10.859999656677246
2016-04-01,16.726808547973633,16.7919864654541,22.54991340637207,40.00934600830078,11.390000343322754
2016-05-01,16.89302635192871,17.00121307373047,22.84088134765625,42.55831527709961,10.699999809265137
2016-06-01,16.93856430053711,17.6238956451416,23.222421646118164,41.96390914916992,11.680000305175781
2016-07-01,17.600879669189453,17.96808433532715,23.396751403808594,44.016265869140625,11.90999984741211
2016-08-01,17.654172897338867,18.017332077026367,23.589427947998047,44.28700256347656,11.479999542236328
2016-09-01,17.889205932617188,17.990629196166992,23.736234664916992,44.2465934753418,11.609999656677246
2016-10-01,17.981218338012695,17.594518661499023,23.55272674560547,44.46577072143555,11.25
2016-11-01,18.387619018554688,16.878936767578125,23.103145599365234,46.17531204223633,10.25
2016-12-01,18.689542770385742,16.666528701782227,22.65287208557129,47.0020866394043,10.100000381469727
2017-01-01,18.83622169494629,16.53841209411621,22.153173446655273,46.37657165527344,10.630000114440918
2017-02-01,18.913415908813477,16.804311752319336,22.2364559173584,49.24867630004883,10.970000267028809
2017-03-01,19.144731521606445,16.947891235351562,22.301231384277344,49.30931854248047,10.859999656677246
2017-04-01,19.222457885742188,17.458736419677734,22.66212272644043,51.14083480834961,11.100000381469727
2017-05-01,18.96595573425293,17.768596649169922,23.0045108795166,51.308956146240234,11.069999694824219
2017-06-01,18.81417465209961,17.62862205505371,22.36509132385254,49.54988479614258,10.779999732971191
2017-07-01,18.821998596191406,16.915456771850586,21.804567337036133,48.59973907470703,11.020000457763672
2017-08-01,18.923831939697266,17.403169631958008,22.187591552734375,48.79509353637695,11.479999542236328
2017-09-01,19.520166397094727,16.921478271484375,21.82324981689453,49.664894104003906,11.130000114440918
2017-10-01,20.033029556274414,17.4638729095459,22.262327194213867,52.634098052978516,10.970000267028809
2017-11-01,20.159263610839844,17.749664306640625,22.60799217224121,54.24797058105469,11.0
2017-12-01,20.370086669921875,17.851680755615234,22.67152214050293,53.42960739135742,11.279999732971191
2018-01-01,20.108625411987305,17.511226654052734,22.454702377319336,55.237449645996094,11.59000015258789
2018-02-01,19.530250549316406,17.444477081298828,22.60553550720215,55.595420837402344,11.369999885559082
2018-03-01,19.46919822692871,17.755868911743164,22.841203689575195,54.316349029541016,11.430000305175781
2018-04-01,19.820280075073242,17.41263198852539,22.69037437438965,54.298377990722656,11.329999923706055
2018-05-01,20.42670249938965,17.786500930786133,23.171142578125,56.12209701538086,11.180000305175781
2018-06-01,20.757972717285156,17.92803192138672,23.283363342285156,57.26146697998047,10.729999542236328
2018-07-01,20.983070373535156,17.671335220336914,22.902912139892578,58.722755432128906,10.449999809265137
2018-08-01,20.846405029296875,17.896799087524414,23.112159729003906,60.82452392578125,10.210000038146973
2018-09-01,20.64342498779297,17.51819610595703,22.817312240600586,60.50804138183594,10.180000305175781
2018-10-01,19.346622467041016,17.213829040527344,22.35126495361328,57.465877532958984,10.350000381469727
2018-11-01,19.61409568786621,17.441213607788086,22.15152931213379,59.09560775756836,10.40999984741211
2018-12-01,18.592884063720703,17.806396484375,22.4382381439209,55.00137710571289,10.920000076293945
2019-01-01,20.200082778930664,18.173297882080078,22.76481819152832,57.43901443481445,11.25
2019-02-01,20.836429595947266,18.218547821044922,22.66876983642578,59.340003967285156,11.210000038146973
2019-03-01,21.04314422607422,19.01004409790039,23.658126831054688,61.47122573852539,10.979999542236328
2019-04-01,21.708709716796875,18.901124954223633,23.706151962280273,64.07593536376953,10.850000381469727
2019-05-01,21.06779670715332,19.550273895263672,24.109577178955078,60.49331283569336,11.050000190734863
2019-06-01,21.572837829589844,19.96707534790039,24.500911712646484,62.634498596191406,11.829999923706055
2019-07-01,21.655683517456055,20.01924705505371,24.510601043701172,64.17649841308594,11.920000076293945
2019-08-01,21.755096435546875,20.750295639038086,24.878889083862305,63.61658477783203,12.859999656677246
2019-09-01,22.125165939331055,20.427202224731445,24.568750381469727,64.48042297363281,12.40999984741211
2019-10-01,21.93306541442871,20.260507583618164,24.413681030273438,65.43868255615234,12.699999809265137
2019-11-01,22.74323081970215,20.57200813293457,24.529983520507812,68.58990478515625,12.289999961853027
2019-12-01,22.825124740600586,20.095401763916016,23.81241226196289,68.83161163330078,12.729999542236328
2020-01-01,23.23737335205078,21.119613647460938,24.8917293548584,70.09854888916016,13.3100004196167
2020-02-01,21.882841110229492,21.21108055114746,25.19046401977539,65.42837524414062,13.229999542236328
2020-03-01,18.014333724975586,19.69368553161621,23.253477096557617,59.74770736694336,13.180000305175781
2020-04-01,20.03860855102539,21.331104278564453,24.458072662353516,66.80413818359375,14.149999618530273
2020-05-01,20.59145736694336,21.463674545288086,24.776086807250977,69.37602233886719,14.510000228881836
2020-06-01,21.142841339111328,22.260713577270508,25.388776779174805,69.55452728271484,14.899999618530273
2020-07-01,22.069557189941406,22.8435001373291,26.62274932861328,72.54861450195312,16.469999313354492
2020-08-01,22.57581329345703,22.051137924194336,26.408992767333984,75.73858642578125,16.3700008392334
2020-09-01,22.133140563964844,22.19166374206543,26.447856903076172,74.32247161865234,15.670000076293945
2020-10-01,21.4582462310791,21.694515228271484,26.31182289123535,72.3289566040039,15.59000015258789
2020-11-01,23.768468856811523,22.24138832092285,26.768495559692383,78.26275634765625,14.699999809265137
2020-12-01,24.106708526611328,22.3425350189209,26.732646942138672,79.57886505126953,15.710000038146973
2021-01-01,24.089277267456055,21.646793365478516,26.186885833740234,79.13764190673828,15.270000457763672
2021-02-01,25.056333541870117,20.647783279418945,25.066118240356445,81.0245590209961,14.279999732971191
2021-03-01,26.06076431274414,19.907419204711914,24.85171127319336,83.46744537353516,14.100000381469727
2021-04-01,26.69232749938965,19.854110717773438,24.354677200317383,85.86865234375,14.600000381469727
2021-05-01,27.622129440307617,20.097698211669922,25.19281578063965,84.88935089111328,15.770000457763672
2021-06-01,28.301416397094727,20.661603927612305,25.6127986907959,89.27798461914062,14.569999694824219
2021-07-01,28.530935287475586,21.045385360717773,26.123088836669922,91.95021057128906,14.960000038146973
2021-08-01,28.972320556640625,20.916017532348633,25.975889205932617,95.7743911743164,14.9399995803833
2021-09-01,28.32992935180664,20.27783203125,25.544103622436523,91.63275146484375,14.430000305175781
2021-10-01,29.76019859313965,20.18961524963379,25.08287811279297,95.8082046508789,14.619999885559082
2021-11-01,29.316015243530273,20.527496337890625,26.23103904724121,98.24153137207031,14.529999732971191
2021-12-01,29.752328872680664,21.317649841308594,26.412494659423828,101.46929931640625,14.989999771118164
2022-01-01,29.6464786529541,19.783828735351562,24.60184669494629,96.72062683105469,14.75
2022-02-01,29.725862503051758,19.492090225219727,24.45814323425293,93.50106048583984,15.640000343322754
2022-03-01,30.94129753112793,18.75300407409668,23.902496337890625,95.67858123779297,15.90999984741211
2022-04-01,29.388017654418945,17.443845748901367,22.781618118286133,89.58560943603516,15.510000228881836
2022-05-01,29.396892547607422,17.32331085205078,22.45589256286621,88.49079132080078,14.9399995803833
2022-06-01,26.849790573120117,16.637052536010742,21.85210609436035,82.6532974243164,14.770000457763672
2022-07-01,28.10236167907715,17.7768611907959,23.361146926879883,89.52992248535156,14.350000381469727
2022-08-01,27.619232177734375,17.059837341308594,22.33577537536621,88.2309799194336,13.960000038146973
2022-09-01,26.44284439086914,16.725847244262695,21.755374908447266,84.27288055419922,13.489999771118164
2022-10-01,27.914390563964844,16.343154907226562,21.929494857788086,89.76519775390625,13.239999771118164
2022-11-01,29.449140548706055,17.291404724121094,22.442182540893555,93.48424530029297,14.329999923706055
2022-12-01,28.021268844604492,16.703601837158203,22.474933624267578,88.700927734375,14.829999923706055
2023-01-01,30.085805892944336,17.56892204284668,22.816946029663086,92.54077911376953,15.569999694824219
2023-02-01,29.349119186401367,17.00494956970215,22.220867156982422,92.64661407470703,14.739999771118164
2023-03-01,29.280956268310547,17.42827033996582,22.435850143432617,95.05838775634766,15.9399995803833
2023-04-01,30.13379669189453,17.73872947692871,22.279497146606445,96.7579116821289,16.06999969482422
2023-05-01,28.657371520996094,17.29902458190918,22.201324462890625,97.45318603515625,15.869999885559082
2023-06-01,29.60867691040039,17.47879409790039,22.08660888671875,101.2270736694336,15.4399995803833
2023-07-01,30.3579158782959,17.063404083251953,21.563554763793945,104.04594421386719,15.800000190734863
2023-08-01,29.969425201416016,16.870216369628906,21.15892791748047,104.9177474975586,15.5600004196167
2023-09-01,28.960411071777344,15.852742195129395,20.418760299682617,100.33478546142578,14.819999694824219
2023-10-01,28.03673553466797,15.809952735900879,20.487842559814453,100.26677703857422,15.9399995803833
2023-11-01,30.135995864868164,17.18239974975586,21.741193771362305,107.09761810302734,16.309999465942383
2023-12-01,31.309490203857422,18.232704162597656,22.01752281188965,109.3084945678711,16.5
2024-01-01,31.487762451171875,17.63810157775879,21.42060089111328,112.63298034667969,16.260000228881836
2024-02-01,32.03194808959961,17.494720458984375,21.41081428527832,119.78893280029297,16.31999969482422
2024-03-01,33.37022018432617,17.49718475341797,21.86095428466797,123.3094482421875,17.780000686645508
2024-04-01,32.77482604980469,16.7394962310791,21.11724853515625,120.30809783935547,18.270000457763672
2024-05-01,33.663185119628906,17.273523330688477,21.64566993713379,124.971435546875,18.56999969482422
2024-06-01,33.18771743774414,17.559837341308594,21.635955810546875,129.8648681640625,18.540000915527344
